Region;Week;Visits
Noord;2023-12-31 To 2024-01-06;45.654
Noord;2024-01-07 To 2024-01-13;42.737
Noord;2024-01-14 To 2024-01-20;43.931
Noord;2024-01-21 To 2024-01-27;44.982
Noord;2024-01-28 To 2024-02-03;47.599
Noord;2024-02-04 To 2024-02-10;49.835
Noord;2024-02-11 To 2024-02-17;46.039
Noord;2024-02-18 To 2024-02-24;44.510
Noord;2024-02-25 To 2024-03-02;42.758
Noord;2024-03-03 To 2024-03-09;42.270
Noord;2024-03-10 To 2024-03-16;42.590
Noord;2024-03-17 To 2024-03-23;46.379
Noord;2024-03-24 To 2024-03-30;49.874
Noord;2024-03-31 To 2024-04-06;48.813
Noord;2024-04-07 To 2024-04-13;41.155
Noord;2024-04-14 To 2024-04-20;40.668
Noord;2024-04-21 To 2024-04-27;44.604
Noord;2024-04-28 To 2024-05-04;45.766
Noord;2024-05-05 To 2024-05-11;39.771
Noord;2024-05-12 To 2024-05-18;38.028
Noord;2024-05-19 To 2024-05-25;42.644
Noord;2024-05-26 To 2024-06-01;42.303
Noord;2024-06-02 To 2024-06-08;42.346
Noord;2024-06-09 To 2024-06-15;42.991
Noord;2024-06-16 To 2024-06-22;46.191
Noord;2024-06-23 To 2024-06-29;47.554
Noord;2024-06-30 To 2024-07-06;46.998
Noord;2024-07-07 To 2024-07-13;48.541
Noord;2024-07-14 To 2024-07-20;49.518
Noord;2024-07-21 To 2024-07-27;43.459
Noord;2024-07-28 To 2024-08-03;44.599
Noord;2024-08-04 To 2024-08-10;52.064
Noord;2024-08-11 To 2024-08-17;48.490
Noord;2024-08-18 To 2024-08-24;49.214
Noord;2024-08-25 To 2024-08-31;52.924
Noord;2024-09-01 To 2024-09-07;50.294
Noord;2024-09-08 To 2024-09-14;49.344
Noord;2024-09-15 To 2024-09-21;44.614
Noord;2024-09-22 To 2024-09-28;44.899
Noord;2024-09-29 To 2024-10-05;41.720
Noord;2024-10-06 To 2024-10-12;48.527
Noord;2024-10-13 To 2024-10-19;45.799
Noord;2024-10-20 To 2024-10-26;54.756
Noord;2024-10-27 To 2024-11-02;45.550
Noord;2024-11-03 To 2024-11-09;50.886
Noord;2024-11-10 To 2024-11-16;48.450
Noord;2024-11-17 To 2024-11-23;49.800
